"ASV","s.control_high","s.control_low","s.pd_high","s.pd_low","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"afd39e4c44959b3bb51820d40a10e966",0,1,0,0,2,0.282842712474619,0.04,"d__Bacteria","p__Fusobacteriota","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium","s__Fusobacterium_ulcerans"
"fc4575c432e5f43c1eaf202f1c5816c4",1,0,1,1,13,0.589291570075271,0.005,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Turicibacter",NA
"7d0ccb9242c92ba67eae0552bf7c6f94",1,0,1,1,13,0.738966465847431,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Romboutsia",NA
"cbd66fa79a3e7fa1c33d29ed908de048",0,0,0,1,4,0.40129376678405,0.045,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Catenibacterium",NA
"fc2bf17d11280ea7e498670124f07400",0,0,1,1,10,0.529403715478988,0.01,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Erysipelatoclostridium","s__[Clostridium]_spiroforme"
"ce7e172e3d64bc42dddb2f4aa26e3a03",1,0,1,1,13,0.601369398310612,0.045,"d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio",NA
"7181b9d732cc0c95f0f605bff39302dd",0,1,0,0,2,0.351406012622799,0.035,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Bacteroides]_pectinophilus_group","s__uncultured_bacterium"
"970c4c927d69ee41accb2c1a29f9a023",1,1,0,0,5,0.62411557732172,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_ruminantium_group","s__uncultured_bacterium"
"f4c1c883e499e7bd0b79e8389fda2c1a",0,1,1,0,8,0.331958597443748,0.045,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Pseudoflavonifractor","s__uncultured_bacterium"
"4fe5e0b2d61af0e16cef1293dd8ba1c8",1,0,0,1,7,0.351364184463153,0.03,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Sanguibacteroides","s__Sanguibacteroides_justesenii"
"b8987c5d3c76dafe8b6470c5cccaba7c",1,1,0,1,12,0.427276597392445,0.045,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Butyrivibrio",NA
