"ASV","s.control_high","s.control_low","s.pd_high","s.pd_low","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"38bcad9f398b4528cd91e97ec0079bbd",0,1,0,0,2,0.342690963581171,0.015,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Lactococcus","s__Lactococcus_lactis"
"f0135ea5c9854954ff851185c476e91c",0,1,0,1,9,0.351875850062752,0.03,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Faecalitalea","s__uncultured_organism"
"4c8288bfbd76958c0c094d87b97650f8",1,1,0,1,12,0.711386405303548,0.015,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia-Shigella",NA
"861d861704ef6eac3ab9fdbe008fcb85",1,0,1,0,6,0.415824634115709,0.015,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__UCG-008","s__uncultured_bacterium"
"fdc9a6c69a6b7d728eb6dfe27e462441",1,0,1,0,6,0.376134948935248,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__GCA-900066575","s__uncultured_bacterium"
"970c4c927d69ee41accb2c1a29f9a023",1,1,1,0,11,0.511869438561065,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_ruminantium_group","s__uncultured_bacterium"
"c43bbd203d077ba15c26090580d64d32",1,0,1,1,13,0.707086925343182,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__UBA1819","s__uncultured_organism"
"1131f697b19dc061094f3b846b9f66a0",0,1,1,1,14,0.535075326613256,0.045,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__DTU089",NA
"960b9cea75175246a62496526868a249",0,1,1,1,14,0.656697827564954,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Negativibacillus",NA
"b21cc0edd44ff27de967257d89a72e2d",1,0,1,1,13,0.528963290062116,0.025,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Intestinimonas","s__uncultured_bacterium"
"84311c29ab5cf09c0720c450dc7c1a43",1,1,1,0,11,0.58665284407104,0.035,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae","s__uncultured_organism"
"7f6be0c255fd231eefa003def744160e",1,0,1,1,13,0.713529709751257,0.025,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae",NA,NA
"506aa1d680b6d3ca57043bc799d377f6",1,1,1,0,11,0.661438319174064,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-004",NA
"378abaddaee3a4538b1fd63920da5092",0,0,1,1,10,0.398010401295669,0.03,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Hungatella",NA
