"","Domain","Phylum","Class","Order","Family","Genus","Species","ASV","Exclusive ASVs","Nutrient","dp"
"1","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"d71fe67e73a45e78b36ab2586bb5dcc8","shared_all_asv","Non_Starch_Polysaccharides_highlow","0.01 0.5"
"2","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"96c7cedbae877361d087a8b39206d408","shared_all_asv","Non_Starch_Polysaccharides_highlow","0.01 0.5"
"3","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_vulgatus","76d6be90e19a660c9a84b35fa31d801c","shared_all_asv","Non_Starch_Polysaccharides_highlow","0.01 0.5"
"4","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter",NA,"4a21bd45b5ff48f40bbcadf6930fc3ee","pd_low_asv","Non_Starch_Polysaccharides_highlow","0.01 0.5"
"5","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"d71fe67e73a45e78b36ab2586bb5dcc8","shared_all_asv","Total_folate_highlow","0.01 0.5"
"6","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"96c7cedbae877361d087a8b39206d408","shared_all_asv","Total_folate_highlow","0.01 0.5"
"7","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_vulgatus","76d6be90e19a660c9a84b35fa31d801c","shared_all_asv","Total_folate_highlow","0.01 0.5"
"8","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"d71fe67e73a45e78b36ab2586bb5dcc8","shared_all_asv","Vitamin_C_highlow","0.01 0.5"
"9","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"96c7cedbae877361d087a8b39206d408","shared_all_asv","Vitamin_C_highlow","0.01 0.5"
"10","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA,"eb1cb381c314ecbbf46265b2e2351ee8","pd_low_asv","Vitamin_C_highlow","0.01 0.5"
"11","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_vulgatus","76d6be90e19a660c9a84b35fa31d801c","shared_all_asv","Vitamin_C_highlow","0.01 0.5"
"12","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"d71fe67e73a45e78b36ab2586bb5dcc8","shared_all_asv","Vitamin_B2_highlow","0.01 0.5"
"13","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"96c7cedbae877361d087a8b39206d408","shared_all_asv","Vitamin_B2_highlow","0.01 0.5"
"14","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_vulgatus","76d6be90e19a660c9a84b35fa31d801c","shared_all_asv","Vitamin_B2_highlow","0.01 0.5"
"15","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"d71fe67e73a45e78b36ab2586bb5dcc8","shared_all_asv","Fructose_highlow","0.01 0.5"
"16","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"96c7cedbae877361d087a8b39206d408","shared_all_asv","Fructose_highlow","0.01 0.5"
"17","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA,"eb1cb381c314ecbbf46265b2e2351ee8","pd_low_asv","Fructose_highlow","0.01 0.5"
"18","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_vulgatus","76d6be90e19a660c9a84b35fa31d801c","shared_all_asv","Fructose_highlow","0.01 0.5"
"19","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_vulgatus","c1255b42b2cf2b23d789ce7de0a446a0","pd_low_asv","Fructose_highlow","0.01 0.5"
"20","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter",NA,"4a21bd45b5ff48f40bbcadf6930fc3ee","pd_low_asv","Fructose_highlow","0.01 0.5"
"21","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002","s__uncultured_organism","3d846e34d0ebbaa6096f5b1e5e8afa03","pd_high_asv","Coffe_drinker_highlow","0.01 0.5"
"22","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"d71fe67e73a45e78b36ab2586bb5dcc8","shared_all_asv","Coffe_drinker_highlow","0.01 0.5"
"23","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"96c7cedbae877361d087a8b39206d408","shared_all_asv","Coffe_drinker_highlow","0.01 0.5"
"24","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_vulgatus","76d6be90e19a660c9a84b35fa31d801c","shared_all_asv","Coffe_drinker_highlow","0.01 0.5"
"25","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"96c7cedbae877361d087a8b39206d408","shared_all_asv","Non_Starch_Polysaccharides_highlow","0.01 0.7"
